Name,Ostan,Shahrestan,Shahr,Roosta,Address,Phone Code,Reg Number,National Code
اندوخته نبوی,تهران,تهران,NULL,NULL,خیابان مطهری،بعداز جهارراه مفتح،خیابان شهید علی اکبری،خیابان شهید میرزایی زینالی،کوچه شهید پاکزادنیا،سرای محله عباس آباد،اندیشه طبقه2,02188746161,2260,10100184148
شهیدمجید حداد عادل,تهران,تهران,NULL,NULL,خیابان ری،خیابان شهید حداد عادل(صفاری سابق),33901234,10161,10100414409
ولی عصر حجت ابن الحسن(عج),تهران,تهران,NULL,NULL,خیابان حسام الدین،انتهای خیابان جیحون،بعد از خیابان تیموری،جنب مسجد حضرت حجت ابن الحسن(عج),55708007,2516,10100192200
جاوید امام صادق(ع),تهران,NULL,NULL,NULL,نارمک،خیابان سمنگان،مسجد جامع,77810808,2536,10100192706
امام رضا(ع),تهران,NULL,NULL,NULL,خیابان خیام شمالی-مقابل درب شرقی پارک شهر-کوچه شهید روحی,021-33924353,8715,10100371576
امام حسن مجتبی(ع),تهران,NULL,NULL,NULL,خیابان جمهوری،بعد ازچهار راه استامبول،کوچه مسجد هدایت،پلاک 57,33916230,11522,10100455241
انصارالحسین(ع),تهران,NULL,NULL,NULL,جوادیه،ده متری دوم،کوچه طالقانی،مسجد انصارالحسین(ع) کلوری های مقیم مرکز,02155667012,3488,10100218302
پس  انداز جاوید,تهران,NULL,NULL,NULL,خیابان طالقانی، بین خ فرصت ( شهید موسوی) و خ مفتح، پلاک 256,02188309021-23,1868,10100166461
امام جواد(ع),تهران,NULL,NULL,NULL,بازار،خیابان 15 خرداد،پامنار،روبروی مسجد لاریجانی,2133910158-33921199,10352,10100420015
رمضان,تهران,NULL,NULL,NULL,میدان قزوین اول خیابان قزوین،پاساژفرجی،طبقه اول،پلاک 108,55406869-55411697,9120,10100383534
بیت المقدس,تهران,NULL,NULL,تهران,جاده خاوران،شهرک مشیریه،خیابان سازمان اب،جنب مسجدامام حسن مجتبی(ع),02133864220,2404,10100188940
ذخیره صادقیه,تهران,NULL,NULL,NULL,اوین،خیابان شهید کچویی،روبروی بانک صادرات,22402254,2573,10100193819
اندوخته جاوید,تهران,NULL,NULL,NULL,بازار،خیابان 15 خرداد-انتهای بازار کفاشها-سرای رحمتیه اول,021-55804428,1490,10100147839
ذخیره قبا,تهران,NULL,NULL,NULL,خیابان شریعتی،جنب حسینیه ارشاد، خیابان قبا,02122844477,2514,10100192140
مسجد الرسول(ص),تهران,NULL,NULL,NULL,سعادت آباد،میدان شهید تهرانی مقدم( کاج)،اول سرو غربی بین بانک سامان و تعاونی پلاک یک,22065456-22088788,7769,10100343496
مقدس اردبیلی,تهران,تهران,NULL,تهران,خیابان 15 خرداد غربی،نرسیده به پمپ بنزین,55606869,2298,10100185586
فردوس شکوفه انقلاب,تهران,NULL,NULL,NULL,خیابان مولوی،بازارمولوی (امین السلطان) ،سرای علاقبند,55631433-55628762,2537,10100192730
الجواد مسجد امام تقی(ع),تهران,NULL,NULL,NULL,خیابان پیروزی، 2متری دهقان،کوچه اسلامی،پلاک 3  (فعالیت صندوق روزهای زوج میباشد),33344071,2212,10100182302
موده شجره سادات,تهران,تهران,NULL,NULL,خیابان 17 شهریور،نرسیده به میدان شهدا،خیابان کفائی،خیابان سادات،پلاک 62,02177654133,14723,10100548305
مطهر,تهران,NULL,NULL,NULL,اتوبان اهنگ،عارف شمالی،بزرگراه شهید محلاتی،خیابان مخبر شمالی،جنب مسجد خداداد پلاک 472,33039454,9187,10100385540
ام البنین(س),تهران,NULL,NULL,NULL,خیابان ناصر خسرو،سرای سقا باشی،پایین تر از کوچه مروی،طبقه دوم،پلاک 38,33952627-9,13050,10100499448
باب الحوائج (ع),تهران,NULL,NULL,NULL,قلهک،خیابان شریعتی،بالاتر از میرداماد،ایستگاه مینا،پلاک 1204،طبقه دوم,22252645,2583,10100194119
متوسلین قمر بنی هاشم(ع),تهران,NULL,NULL,NULL,خیابان خیام جنوبی،ایستگاه اصفهانیها،پلاک 42،طبقه دوم عکاسی گلشن,55604878,8733,10100372110
مسجد الزهرا(س),تهران,NULL,NULL,NULL,خیابان 15 خرداد،نوروز خان،کوچه مسجد جامع،پاساژ نوروز,55625283-55633797,8458,10100363987
الزهرا(س) محدثه,تهران,NULL,NULL,NULL,بازار،کوچه مسجد جامع،سرای صفا,55610155,11126,10100442662
شیعه جعفری,تهران,NULL,NULL,NULL,خیابان 17 شهریور،نرسیده به چهارراه دروازه دولاب، سمت چپ،خیابان حاجیان فرد ،پلاک  30,33676128-127,12082,10100470869
کانون بازنشستگان صنایع مس,تهران,تهران,NULL,NULL,یوسف آباد،خیابان ابن سینا،پلاک 83 ،طبقه ششم،واحد 1,88554837,9476,10100394107
امداد اسلامی,تهران,NULL,NULL,NULL,بازار،خیابان خیام،بازار پاچنار،کوچه فراشباشی،پلاک 81,55638888-55622978,7911,10100347694
حضرت ثامن الائمه(ع),تهران,NULL,NULL,NULL,نیروی هوایی،خیابان دماوند،خیابان 30 متری نیروی هوایی،کوچه آقاجانی غربی,77419975,11361,10100449635
حمزه سیدالشهدا دروس,تهران,NULL,NULL,NULL,خیابان دولت(کلاهدوز)،خیابان آقامیری،چهاراه قنات،خیابان بهداد،کوچه هدایت،مسجدهدایت,22555187,12324,10100477939
پیوند امام سجاد(ع),تهران,NULL,NULL,NULL,میدان خراسان،خیابان خراسان،مقابل مسجد ایت الله فومنی،پلاک 228,33138080,8974,10100379214
محمد رسول اله (ص) امین,تهران,تهران,NULL,NULL,بزرگراه خرازی،خروجی کاشان جنوب،میدان موج، بلوار علامه قزوینی،دانشگاه صدرا,02140445869,10504,10100424520
پس انداز رسالت,تهران,NULL,NULL,تهران,میدان بهارستان،خیابان صفی علی شاه ،نبش کوچه درویش،حسینیه صنف سراجان،پلاک 2,55819910-11,2272,10100184585
قائم آل محمد(عج),تهران,تهران,NULL,NULL,پل سیدخندان،خیابان خواجه عبدالله انصاری،خیابان ابوذر جنوبی،پلاک 21,22864799-22865022-22880555,8984,10100379495
مسجد انصارالحسین(ع),تهران,NULL,NULL,NULL,نیروی هوایی،خیابان پنجم نیروی هوایی،مسجد انصارالحسین(ع),77479996,3366,10100214708
مسجد امیرالمومنین(ع),تهران,تهران,NULL,NULL,شهرک ژاندارمری-بلوار مرزداران- خيابان ايثار- جنب مسجد اميرالمومنين (ع)- پلاك30-طبقه اول,44243566-44251133,13207,10100504073
ولایت علی,تهران,NULL,NULL,NULL,خیابان ایرانشهر جنوبی،روبروی مسجد جلیلی،پلاک 43،طبقه همکف,88848081,2477,10100191095
مسجدالنبی(ص)شهید عسگری آزاد,تهران,NULL,NULL,NULL,میدان صنعت،فاز یک،خیابان ایران زمین،خیابان گلستان،مسجدالنبی(ص),88363121,10844,10100434499
حضرت علی اصغر(ع),تهران,تهران,NULL,NULL,شهید محلاتی،خیابان شهید احمد کیانی،(اصفهانک)، ، خیابان شهید سیدحسن میرهاشمی ، پلاک 110 ، طبقه اول,33027054-33010427,9751,10100402250
امام حسن مجتبی(ع),تهران,NULL,NULL,تهران,بازار اهنگرها،بازار چهل تن،سرای دالان دراز اب انبارقدیم,55816688-55807228,15171,10100561667
ذخیره المهدی(عج),تهران,NULL,NULL,NULL,خیابان خاوران،مقابل پارک فدائیان اسلام-جنب مسجد حضرت عباس (ع)(خواروبار فروشی سعید),33739407,2504,10100191855
امام رضا(ع),تهران,تهران,NULL,NULL,میرزای شیرازی،بین خیابان شهید بهشتی و شهید مطهری،کوچه شهید مقدم،مسجد کمیل,88554674-88711500,49172,14008983645
حمزه سیدالشهدا(ع),تهران,تهران,NULL,NULL,جاده قدیم کرج،شصت و پنج متری فتح،کوی 17 شهریور،جنب مسجد حضرت ابوالفضل(ع),66803375,3289,10100212419
پیروان امام حسن عسگری(ع),تهران,NULL,NULL,NULL,خیابان بهار شمالی،کوچه شهید محمدی،کوچه مسجد خرقانی کوچه آجودانی,77624296-77515091,48205,14008631943
صنف چینی و بلور,تهران,NULL,NULL,NULL,میدان شوش، خیابان فدائیان اسلام،کوچه شهید عبدالله طرقی،       (کوچه چهاردهم) مسجد چهارده معصوم (ع),02155602762,9123,10100383631
خدمات اسلامی,تهران,NULL,NULL,NULL,خیابان 15 خرداد،اول پامنار،ساختمان گل،طبقه همکف،واحد 6,02133909470-33904321,2152,10100180066
قائم(عج) قهرودیها,تهران,NULL,NULL,NULL,وحدت اسلامی،خیابان فرهنگ،جنب حسینیه قهرودیها،پلاک 83,55365302,2239,10100187117
حمایت اتاق اصناف,تهران,NULL,NULL,NULL,خیابان شریعتی،بعد از ملک،پلاک 456,88461360-85543100-2,12342,10100478452
امام زمان(عج),تهران,شهرقدس,NULL,NULL,شهرقدس،خیابان آزادی،سه راه دوم،پلاک246,46826118,41,10861354180
والفجر,تهران,شهرقدس,شهر قدس,NULL,شهرقدس،خیابان امام خمینی،ابتدای بلوار شهیدقربانی,46823777-46824777,54,10861370148
صاحب الزمان(عج),تهران,شهرقدس,NULL,NULL,شهرقدس، میدان مصلی، اول بلوار امام حسین (ع)،نبش هجرت یکم پلاک 1,46830166,14,10100003499
جوادالائمه(ع) رضوی,تهران,NULL,NULL,تهران,خیابان سبلان شمالی،سر موتورآب،خیابان شهید مطلب نژاد،نبش کوچه شهید دولت آبادی،پلاک183,88411200,13426,10100510585
معلولین,تهران,تهران,NULL,NULL,میدان هفت تیر،کوچه شاهرخ،پلاک 8،واحد 12,02188304271,3130,10100207803
صاحب الامر(عج),تهران,NULL,NULL,NULL,شمیران،خیابان شریعتی،خیابان شهیدبرادران واعظی،خیابان شهیدبرادران سلیمانی،مسجد صاحب الامر(عج),02122219323,10661,10100429090
صاحب الزمان(عج),تهران,NULL,NULL,NULL,یافت آباد،خ شهید میر هاشمی ، میدان شهید میر هاشمی ، جنب مسجد صاحب الزمان(عج),66819146-66825118,12808,10100492247
برگ سبز هنرمندان,تهران,NULL,NULL,تهران,خیابان سمیه، بین خیابان نجات الهی و حافظ، ساختمان مرکزی حوزه هنری,02188807995,11802,10100462642
طلایه داران ولایت علوی,تهران,NULL,NULL,NULL,خیابان مجاهدین،چهارراه آبسردار،خیابان ایران،نبش کوچه نظام،پلاک 1، طبقه اول,02133131334 -- 33501130,45353,14007792294
پس انداز جاوید ظهیرالاسلام,تهران,تهران,NULL,NULL,خیابان ظهیرالاسلام،خیابان آزادخواه،نبش بنبست آرایش،پلاک4،طبقه اول,33949991,47336,14008375868
پس انداز جاوید بازار,تهران,NULL,NULL,NULL,بازار، کوچه بازار چهارسوق بزرگ، کوچه بازار مسجدجامع، پلاک 43، ساختمان صفا، طبقه همکف,55607777_55604343,47578,14008434641
پس انداز جاوید اکباتان,تهران,تهران,NULL,NULL,خیابان امیرکبیر، ابتدای خیابان ملت،  مجتمع تجاری جاوید، پلاک 19، طبقه منفی 1 ، واحد 105,33900806-8,47575,14008434582
سنن النبی,تهران,NULL,NULL,NULL,خیابان 17شهریور،خیابان فیاضبخش،نبش برادران احمدی،جنب مسجد فائق,02136831284,49144,14008974734
پس انداز جاوید صف,تهران,NULL,NULL,NULL,خ جمهوری،محله باغ سپهسالار،خ صف ، پلاک 15،طبقه همکف,02133977976,50910,14009679127
امام حسین (ع) مسجد جعفری قیطریه,تهران,NULL,NULL,NULL,شریعتی ، بالاتر از پل رومی ، بلوار صبا ، خ شهید کریمی ، مسجد جعفری قیطریه ، طبقه دوم,22219151--22211347,51778,14010102110
طوس قلهک تهران,تهران,NULL,نهران,تهران,قلهک پارک زرگنده جنب امام زاده اسماعیل مسجدامام حسین(ع) طبقه اول,02122600020,2249,10100183717
حضرت جوادالرضا(ع),تهران,NULL,NULL,NULL,فلکه دوم تهرانپارس،انتهای خیابان جشنواره،خیابان شهید سیری،کوچه شهید منتظری شرقی،پلاک 58,02177969899,10478,10100423742
اویس قرنی,تهران,NULL,NULL,NULL,خیابان شکوفه ، خیابان شهید درودیان، میدان کلانتری، مسجد ارباب,02133355529,3049,10100205396
حضرت ولی عصر (عج),تهران,NULL,NULL,NULL,خیابان 15 خرداد - بازارآهنگرها - کوچه مسجد جامع- بن بست ثقفی- پاساژ امیر- پلاک 6,02155573855,44794,14007622131
شهید رجایی درکه,تهران,NULL,NULL,NULL,شمیران، درکه، خیابان شهید میراسماعیلی، مسجد جامع درکه,22419408- 22400535,2443,10100190115
اندوخته فدک حضرت زهرا (س),تهران,تهران,تهران,NULL,خیابان 15خرداد،بازار آهنگرها،کوچه سیدمحمد صراف (کمال رشیدی)، پاساژ شهرابی، طبقه 2,02155621315-558116557,9427,10100392709
حضرت ابوالفضل(ع),تهران - جنوب,شهر ری,ري,NULL,پل سیمان،خیابان عزیزنژاد،خیابان شهادت،کوچه شهیدتوکلی,33745287,2200,10100181846
امام حسن عسگری(ع),تهران - جنوب,شهر ری,ری,NULL,خیابان سرگرد مسعود محمدی-مقابل کارخانه سیمان-جنب مسجد,33740905-33755616-33775090-36656080-36656090,2074,10100176335
قمربنی هاشم هشرودیهای مرکز,تهران - جنوب,شهر ری,ری,NULL,صفائیه-محله شهدا-خیابان نادم-مسجد حضرت رسول اکرم-طبقه اول,33753331,3066,10100205869
حر ریاحی,تهران - جنوب,شهر ری,باقرشهر,باقر شهر,جاده قدیم قم نرسیده به بهشت زهرا(س)باقرشهر,55200622,2300,10100185650
شهدای هفتم تیر,تهران - جنوب,شهر ری,حسن ابادفشافویه,حسن آباد,جاده قدیم  قم-کیلومتر 36 حسن اباد-فشافویه-بلوار امام خمینی-جنب بانک تجارت-پلاک804,56223755-56222555,3149,10100208365
شهداء دولت آباد,تهران - جنوب,شهر ری,ری,شهرک دولت آباد,دولت آباد، فلکه سوم، خیابان شهید جعفری، پلاک61,2102133771070,3306,10100212920
حجت ابن الحسن(عج),تهران - جنوب,شهر ری,ری,NULL,شهرری -خیابان شهیدبیات(خ24متری ذکریای رازی) - کوچه مسلم ابن عقیل(ع)پلاک 81,55904183,2092,10100177277
ولیعصر (عج) شهرری,تهران - جنوب,شهر ری,ری,NULL,خیابان فدائیان اسلام پل سیمان خیابان شهید سرگرد مسعود محمدی جنب بانک مهراقتصاد پلاک 400 طبقه اول,36807250,12257,10100475941
فرهنگیان شهر ری,تهران - جنوب,شهرری,ری,NULL,شهرری،خیابان فدائیان اسلام،35 متری امام حسین(ع)،جنب اداره آموزش و پرورش،پلاک140،طبقه همکف,55917521-55938742,11186,10100444455
ولی عصر(عج),تهران - جنوب,ورامین,خیرآباد,NULL,خیابان شهید زواره،بعداز بوستان2,36232305-36238878,176,10100033532
شهید رجایی,تهران - جنوب,ورامین,NULL,شهرک مدرس,ورامین،شهرک مدرس(گل تپه)خ شهید بهشتی،روبروی مسجد صاحب الزمان(عج),02136232757,373,10100025409
ذخیره فاطمی,تهران - جنوب,ورامین,NULL,NULL,خیابان مسجد جامع-روبروی بانک صاذرات  ومسجد صاحب الزمان(عج),36254028-36254012,371,14000078950
حیدری ها,تهران - جنوب,ورامین,NULL,ورامین,خیابان شهید دکتر بهشتی، بالاتزر از فرمانداری,36257078-36267078,163,10100031545
جان نثاران قرآن,تهران - جنوب,ورامین,NULL,ورامین,ورامین،کارخانه قند،ایستگاه صادقعلی،پلاک188,36247298-36269520,396,10100055835
جعفریه پیشوا,تهران - جنوب,ورامین,پيشوا ميدان امام خ امام جنب كوچه شهيد سيل سپور,پیشوا,خیابان امام خمینی-روبروی داروخانه شبانه روزی,36722992-36722412,56,10100022955
حجت ابن الحسن عسگری(ع),تهران - جنوب,پاکدشت,NULL,NULL,جاده خاوران-ورامین-کیلومتر 45 پاکدشت-میدان شهدا-اول کوچه ولیعصر(عج),36022825-36020928,371,10100094258
توحید فرهنگیان,تهران - جنوب,ورامین,پیشوا,NULL,خیابان شریعتی ، جنب هنرستان دخترانه سرمد,36726600,61,10860138679
پارچینیان,تهران - جنوب,پاکدشت,پارچین,NULL,پاکدشت میدان شهید سردار سلیمانی بلوار پارچین شهرک شهید مطهری بلوک15,36077630,2107,10100178016
ذخیره مسجد جامع,تهران - شرق,دماوند,NULL,NULL,دماوند،کوچه نواب صفوی,76323664,28,10100006599
ذخیره قائم(عج),تهران - شرق,دماوند,NULL,NULL,میدان 17شهریور-بلوار شهرداری-جنب سازمان اب,02176322268,36,10100008489
الغدیر,تهران - شرق,دماوند,آبعلی,رودهن-ابعلی,رودهن،آبعلی،خیابان امام خمینی،جنب اداره گازآبعلی,76532125,83,14008558961
حضرت امیر(ع),تهران - شرق,بومهن,NULL,NULL,روبروی مخابرات,76222955,5,10100001332
جامع امین,تهران - شرق,دماوند,گیلاوند,NULL,بلوار آیت اله خامنه ای ، پلاک 281,76314174,10,10100079097
الرحمن,تهران - غرب,اسلامشهر,NULL,NULL,اسلامشهر،میدان نماز،کوی احمدیه،خیابان علی بن ابیطالب(ع)،نبش کوچه 32،پلاک341,56346030-56346566,2828,10100199926
ذخیره انقلاب اسلامی,تهران - غرب,رباط کریم,NULL,رباط کریم,جاده ساوه-کیلومتر 36 رباط کریم-پلاک672,56433811-56422275,80,10100017750
خیبر رباط کریم,تهران - غرب,رباط کریم,NULL,NULL,بعداز فرمانداری-میدان شهید بهشتی ابتدای بلوار امام خمینی نبش کوچه شهید عباسی,56420018-56423362,68,10100015121
امام زمان(عج),تهران - غرب,چهاردانگه,NULL,شهرک گلشهر,چهاردانگه،شهرک گلشهر،نبش میدان شهداء،روبروی بانک ملی,55242232-55240279-55276003,2785,10100199210
ذخیره امام حسن مجتبی(ع),تهران - غرب,چهار دانگه,NULL,NULL,بزرگراه آیت الله سعیدی،چهار دانگه،نبش بلوار فارسیان,55243232-55245474,2160,10100180334
محمد رسول اله(ص),تهران - غرب,جاده ساوه,NULL,چهاردانگه,خیابان شهید محمد حسن میدان شهید درویش,02155245833,2970,10100203035
امیر المومنین(ع),تهران - غرب,بهارستان,نسیم شهر,NULL,نسیم شهر،خیابان امام خمینی،محله اسماعیل آباد،جنب مسجد امیرالمومنین(ع)،پلاک 176,02156754699,5,10100001347
امام حسن مجتبی(ع),تهران - غرب,اسلامشهر,NULL,شهرک سالور,اسلامشهر،شهرک سالور،بلوار بسیج،خیابان شهیدحدادی،نبش کوچه سی وششم،پلاک28,56464669,13005,10100498126
خیراندیشان بهارستان(مسلم بن عقیل),تهران - غرب,رباط کریم,تهران,نسیم شهر,شهرک احمد آباد جانسپار-خیابان یادگار امام-پلاک 85,56752407,128,10100026471
وحدت,تهران - غرب,رباط کریم,رباطکریم,تقی آباد,رباط کریم،ابتدای خیابان شهداء,02156424411,183,10100034436
صاحب الزمان(عج),تهران - غرب,رباط کریم,NULL,خیرآباد,نسیم شهر- خیر اباد - بلوار امام خمینی (ره) - صندوق قرض الحسنه صاحب الزمان (عج),56645511,4,10100001119
زین العابدین(ع),تهران - غرب,بهارستان,نسیم شهر,بخش بوستان ، شهرک همدانک,بهارستان،نسیم شهر،بخش بوستان ، شهرک همدانک،خیابان شهید عابدین زاده،بین گلستان 5 و 6، پلاک 116,02156573736,3,10100000633
صالح آباد رباط کریم,تهران - غرب,بهارستان,NULL,صالح آباد,خیابان سی متری ولیعصر(عج)،روبروی مسجد صاحب الزمان(عج)،بش خیابان شهیدکشوری,56622424,6,10100001537
باب الحوائج(ع),تهران - غرب,شهریار,NULL,قصطانک(وحیدیه),شهر وحیدیه-خیابان امام خمینی-جنب بانک صادرات,65636844-65632407,18,10100004223
سعیدآباد,تهران - غرب,شهریار,باغستان,سعیدآباد,شهریار،باغستان،سعیدآباد،روبروی مسجد خیابان خلج پلاک 9,65603540,33,10100007834
ذخیره ولی عصر(عج),تهران - غرب,شهریار,NULL,NULL,ابتدای خیابان ولیعصر,65229054,29,10100006829
هجرت,تهران - غرب,شهریار,شاهدشهر,NULL,شهریار،شاهدشهر،میدان امام خمینی،پلاک  24,02165442260,37,10100008586
ولی عصر(عج),تهران - غرب,ملارد,صفادشت,NULL,میدان شهید خرقانی پلاك 251,02165432533,69,10100015516
ولی عصر(عج),تهران - غرب,شهریار,NULL,رزکان,میدان نماز-شهرک رزکان - خیابان ولیعصر(عج)-کوچه شقایق2-پلاک33,02165933350,26,10100006170
ولی عصر(عج),تهران - غرب,شهریار,وحیدیه,وحیدیه جوقین,شهریار،وحیدیه جوقین،خیابان شهید ملا بیرامی روبروی قنادی گلدیس پلاک 82,65634544-,35,10100008120
امین(باقرالعلوم),تهران - غرب,شهریار,NULL,NULL,شهریار،عباس آباد،خیابان استاد مطهری ،نبش کوی مسرت،پلاک379,02165250880-65221060-2,32,10100007435
ولی عصر(عج),تهران - غرب,شهریار,اندیشه,شهراندیشه,شهریار،اندیشه فاز 3،خیابان ولیعصر(عج)،بازار بزرگ اندیشه ورودی بازار جنب بانك رفاه كارگران,02165561710,76,10100017007
امام سجاد(ع),تهران - غرب,شهریار,صفادشت,یوسف آباد قوام,شهرملارد، صفادشت، یوسف آبادقوام,65583825,230,10100040140
امیر المومنین علی(ع),تهران - غرب,شهریار,NULL,کردزار,شهریار،کردزار،بلوار شهید بهشتی،پلاک74,65730439-65731520,39,10100009019
امین اقتصاد مارلیک,تهران - غرب,شهریار,NULL,ملارد,شهریار،ملارد،بیست متری مارلیک، خیابان آزادگان، پلاک97,021-65110610-65158336,31,10100007250
ذخیره انقلاب  بهارستان,تهران - غرب,رباط کریم,بهارستان,NULL,رباط کریم،بهارستان،گلستان،کوچه 8متری امام خمینی بلوار غدیر(جاده ساوه),56324243-56740157,515,14008564791
ذخیره ره پویان انقلاب اسلامی بوستان,تهران - غرب,بهارستان,نسیم شهر,NULL,بهارستان،نسیم شهر،خ امام خمینی،پلاک 535 ، طبقه همکف,02156753310,525,14008720072
مهدی موعود (عج) گلدسته,تهران - غرب,اسلامشهر,چهار دانگه,NULL,شهرک گلدسته ، خیابان کلانتری ، پلاک 157,55290202,2290,10100185265
خیبر نصیر شهر,تهران - غرب,رباط کریم,نصیرشهر,NULL,رباط کریم،نصیر شهر،خیابان امام خمینی،پلاک 396,56653336--56653337,571,14009997784
ذخیره کار گشایی انقلاب اسلامی,تهران - غرب,بهارستان,قلعه میر,NULL,بهارستان،قلعه میر،بلوار شهدا،کوچه ابن سینا،پلاک 212,56863323,585,14010686170
ذخیره شهر جدید پرند,تهران - غرب,رباط کریم,پرند,NULL,شهر جدید پرند محله پرند  فاز دوم  خیابان زنبق  پلاک 5,56727888,596,14010970656
حضرت ابوالفضل(ع),سمنان,NULL,NULL,خیرآباد,جنب مسجد صاحب الزمان(عج),023-33655088بعدازظهرکار,12,10700001820
رسالت,سمنان,NULL,NULL,NULL,خیابان امام خمینی-نرسیده به چهار راه مازندران-پلاک19,023-33322393,10,14000012335
مهدیه,سمنان,NULL,NULL,NULL,میدان ابوذر- خیابان حافظ جنوبی-جنب درمانگاه 17 شهریور - پلاک 1-38,023-33327004,4,10700000570
امام جعفرصادق(ع),سمنان,NULL,NULL,NULL,میدان پیرنجم الدین،ضلع جنوبی،طبقه همکف،پلاک 1,023-33327161,9,10480115279
وحدت,سمنان,سرخه,NULL,NULL,بیست کلیومتر مانده به سمنان-شهرستان سرخه-خیابان آیت ا... فیض,02333612828,1,10700000088
عدالت,سمنان,مهدی شهر,مهدیشهر,NULL,مهدیشهر،میدان امام خمینی (ره),02333623511,2,10480000195
ذخیره قائم(عج),سمنان,شهمیرزاد,NULL,NULL,شهمیرزاد،خیابان امام خمینی،پاساژ قائم(عج)،پلاک 57,023-33662399,18,10480002280
متوسلین به چهارده معصوم(ع),سمنان,دامغان,NULL,NULL,دامغان،میدان چهارده معصوم(فرهنگ),02335262674-75-35258104,6,14000094692
وحدت,سمنان,دامغان,NULL,NULL,دامغان،خیابان شهید بهشتی،پاساژ وحدت,023-35244511-35232552,3,14000073162
قائم(عج),سمنان,دامغان,NULL,NULL,ابتدای بلوار پیروزی-پاساژ موقوفه مطلب خان,023-35236970,1,10480000064
تعاون قائم(عج),سمنان,گرمسار,NULL,NULL,گرمسار،میدان امام خمینی،ضلع غربی,023-34222015-34223385,1,10480000098
ام الائمه(س),سمنان,دامغان,NULL,دروار,دامغان،دروار،جنب مسجد جامع دروار 09128315311اقای امیر فخریان مدیر داخلی,023-35373330,10,10480001314
امام سجاد(ع),سمنان,دامغان,کلاته رودبار,NULL,دامغان کلاته رودبار.میدان امام. صندوق قرض الحسنه امام سجاد(ع),023-35326322,20,10980249165
معصوم زاده,سمنان,دامغان,NULL,مرکزی,میدان امام ،خیابان شهید مطهری ،جنب مصلی,023-35255151-35255252,24,10980162541
زنان نرجس,سمنان,مهدی شهر,مهدیشهر,NULL,مهدی شهر،خیابان امام ،میدان امام،بازار،روبروی مسجد صاحب الزمان(عج),023-33625479,85,10480022221
بانوان صدیقه اطهر,سمنان,گرمسار,NULL,NULL,گرمسار،خیابان شهید بهشتی،روبروی اداره تامین اجتماعی,02334203557,22,10480002767
ولی عصر(عج),سمنان,شاهرود,NULL,NULL,شاهرود،میدان امام خمینی,023-32226555,1,10480000119
اسلام,سمنان,شاهرود,NULL,NULL,خیابان تهران جنب مسجد محمدی طبقه فوقانی,023-32227755,13,10480001640
حجت ابن حسن عسگری(عج),سمنان,شاهرود,NULL,NULL,شاهرود،انتهای بازار سه راه قائم(عج),023-32225475,15,10480001878
حضرت ابوالفضل(ع),سمنان,شاهرود,NULL,NULL,خیابان 17 شهریور-پاساژ مدرسه قلعه-طبقه همکف,023-32224000,8,10480001105
فاطمه زهرا(س),سمنان,شاهرود,NULL,NULL,شاهرود،خیابان امام،خیابان آزادگان،آزادگان نهم نبش خیابان,023-32224720,31,10480003409
باب الحوائج(ع),سمنان,شاهرود,رودیان,شهر رودیان,شاهرود،رودیان،خیابان امام خمینی ،نرسیده به میدان امام حسین(ع),023-32512728,44,10480004467
المهدی(عج),سمنان,شاهرود ، شهر بسطام,2325023,NULL,بسطام ،خیابان مهدیه -صندوق المهدی بسطام,023-32522550,2,10480000235
شهید موسی مظفری,سمنان,شاهرود,NULL,کلامو,بسطام،روستای کلامو,023-32275550,5,10480000668
علی اصغر(ع),سمنان,میامی,NULL,میامی,میامی،خیابان امام رضا (ع),023-32622299-2832,10,10480000406
امام حسن مجتبی(ع),سمنان,شاهرود,NULL,حسین آباد کالپوش,میامی-حسین آباد کالپوش,023-32663202,52,10480005166
قائم آل محمد(عج),سمنان,شاهرود,NULL,بیارجمند,شاهرود،بیارجمند،خیابان امام خمینی،پایین تر از بانک ملت,023-32673282-3111-091277306 احمدی,32,10480003544
علی بن ابیطالب(ع),سمنان,شاهرود,مجن,شهرمجن,بلوارامام حسین(ع) اول کوچه مسجدجامع,023-32573255,23,10480002733
ولی عصر(عج),سمنان,شاهرود,NULL,ابرسج,روستای ابرسج محله بالا,023-32538270,14,10480001766
جوادالائمه(ع),سمنان,شاهرود,ميامي,رضوان,شاهرود،میامی، رضوان،خیابان امام رضا(ع)،روبروی مسجد جامع,023-32631335,6,10480000810
حضرت ابوالفضل(ع),سمنان,شاهرود,NULL,جودانه,شاهرود،روستای جودانه,023-32278999,37,10480003865
الغدیر,سمنان,شاهرود,میامی,نام نیک,میامی - بخش کالپوش-روستای نام نیک,02332636936-32636525,11,10480005527
توحید جهادیه,سمنان,NULL,NULL,NULL,بلوار پیروزی،جهادیه،نبش جهادیه3,02333371016,3,10700000420
حضرت علی اصغر کوهان,سمنان,سمنان,میامی,کوهان,میامی.بخش مرکزی.دهستان کلاته شرقی.روستای کوهان,NULL,56,14009499537
تعاون اسلامی خاتم الانبیاء(ص),زنجان,ابهر,هیدج,NULL,ابهر،هیدج،خیابان حکیم  هیدجی ،روبروی مخابرات,0243-5752396,85,10460008145
شهدای قروه,زنجان,ابهر,NULL,قروه,خیابان امام خمینی -پایین تر از بانک تجارت,024-35362040,169,10460012655
